601588	北京北辰实业	601588	-
601598	中国外运	601598	-
601600	中国铝业	601600	-
601618	中国冶金科工	601618	-
601628	中国人寿保险	601628	-
601658	中国邮政储蓄银行	601658	-
601668	中国建筑	601668	-
601669	中国电力建设	601669	-
601698	中国卫通	601698	-
601718	际华	601718	-
601728	中国电信	601728	-
601766	中国中车	601766	-
601800	中国交通建设	601800	-
601816	京沪高速铁路	601816	-
601818	中国光大银行	601818	-
601857	中国石油天然气	601857	-
601858	中国科技出版传媒	601858	-
601868	中国能源建设	601868	-
601881	中国银河证券	601881	-
601886	江河创建	601886	-
601888	中国旅游集团中免	601888	-
601898	中国中煤能源	601898	-
601908	北京京运通科技	601908	-
601939	中国建设银行	601939	-
601949	中国出版传媒	601949	-
601985	中国核能电力	601985	-
601988	中国银行	601988	-
601989	中国船舶重工	601989	-
601991	大唐国际发电	601991	-
601992	北京金隅	601992	-
601995	中国国际金融	601995	-
601998	中信银行	601998	-
603000	人民网	603000	-
603025	北京大豪科技	603025	-
603060	中国国检测试控股	603060	-
603087	甘李药业	603087	-
603098	森特士兴	603098	-
603123	北京翠微大厦	603123	-
603127	北京昭衍新药研究中心	603127	-
603138	北京海量数据技术	603138	-
603267	北京元六鸿远电子科技	603267	-
603377	东方时尚驾驶学校	603377	-
603392	北京万泰生物药业	603392	-
603511	爱慕	603511	-
603516	北京淳中科技	603516	-
603533	掌阅科技	603533	-
603569	北京长久物流	603569	-
603588	北京高能时代环境技术	603588	-
603590	北京康辰药业	603590	-
603598	引力传媒	603598	-
603603	博天环境	603603	-
603613	北京国联视讯信息技术	603613	-
603616	北京韩建河山管业	603616	-
603698	航天长征化学工程	603698	-
603778	北京乾景园林	603778	-
603803	瑞斯康达科技发展	603803	-
603818	曲美家居	603818	-
603825	华扬联众数字技术	603825	-
603859	能科科技	603859	-
603860	中公高科养护科技	603860	-
603871	嘉友国际物流	603871	-
603888	新华网	603888	-
603903	中持水务	603903	-
603927	中科软科技	603927	-
603970	中农立华生物科技	603970	-
603979	金诚信矿业管理	603979	-
603986	兆易创新科技	603986	-
605069	北京正和恒基滨水生态环境治理	605069	-
605178	北京新时空科技	605178	-
605305	中际联合(北京)科技	605305	-
605599	北京菜市口百货	605599	-
688004	北京市博汇科技	688004	-
688009	中国铁路通信信号	688009	-
688015	交控科技	688015	-
688028	北京沃尔德金刚石工具	688028	-
688033	北京天宜上佳高新材料	688033	-
688047	龙芯中科技术	688047	-
688050	爱博诺德(北京)医疗科技	688050	-
688051	罗克佳华科技	688051	-
688056	北京莱伯泰科仪器	688056	-
